  t= 22.5s | rx= 21.61m | ry=  0.009m | omega= 0.000 | e_lat=0.009m
  t= 23.0s | rx= 22.11m | ry=  0.008m | omega= 0.000 | e_lat=0.008m
  t= 23.5s | rx= 22.61m | ry=  0.008m | omega= 0.000 | e_lat=0.008m
  t= 24.0s | rx= 23.11m | ry=  0.008m | omega= 0.000 | e_lat=0.008m
  t= 24.5s | rx= 23.61m | ry=  0.008m | omega= 0.000 | e_lat=0.008m
  t= 25.0s | rx= 24.11m | ry=  0.008m | omega= 0.000 | e_lat=0.008m
  t= 25.5s | rx= 24.61m | ry=  0.007m | omega= 0.000 | e_lat=0.007m
  t= 26.0s | rx= 25.11m | ry=  0.007m | omega= 0.000 | e_lat=0.007m
  t= 26.5s | rx= 25.61m | ry=  0.007m | omega= 0.000 | e_lat=0.007m
  t= 27.0s | rx= 26.11m | ry=  0.007m | omega= 0.000 | e_lat=0.007m
  t= 27.5s | rx= 26.61m | ry=  0.007m | omega= 0.000 | e_lat=0.007m
  t= 28.0s | rx= 27.11m | ry=  0.007m | omega= 0.000 | e_lat=0.007m
  t= 28.5s | rx= 27.61m | ry=  0.006m | omega= 0.000 | e_lat=0.006m
  t= 29.0s | rx= 28.11m | ry=  0.006m | omega= 0.000 | e_lat=0.006m
  t= 29.5s | rx= 28.61m | ry=  0.006m | omega= 0.000 | e_lat=0.006m
  t= 30.0s | rx= 29.11m | ry=  0.006m | omega= 0.000 | e_lat=0.006m
=== Controller finished ===
+=+ XLVIP-INFO: XlTlmMessageLayer::disconnectFromServer():
+=+    Disconnecting this remote client from TLM fabric server:
+=+        clientId=:remoteSession1

Script done on 2026-03-16 19:52:32+00:00 [COMMAND_EXIT_CODE="0"]
